StrainYY,StressYY,p,q,Volumetric_Strain
0,200,200,0,0
0.000288,207.07,196.39,16.02,0
0.00032832,207.99,195.87,18.18,0
0.00037429,209.02,195.28,20.61,0
0.00042669,210.17,194.5966667,23.36,0
0.00048642,211.45,193.8166667,26.45,0
0.00055451,212.87,192.9233333,29.92,0
0.00063216,214.43,191.89,33.81,0
0.00072066,216.13,190.71,38.13,0
0.00082155,217.98,189.3466667,42.95,0
0.00093656,219.96,187.7866667,48.26,0
0.0010677,222.06,185.9866667,54.11,0
0.00121715,224.24,183.92,60.48,0
0.00138755,226.48,181.5533333,67.39,0
0.0015818,228.7,178.84,74.79,0
0.0018033,230.82,175.7533333,82.6,0
0.0020557,232.72,172.2466667,90.71,0
0.0023435,234.3,168.3133333,98.98,0
0.0026716,235.39,163.9366667,107.18,0
0.0030457,235.86,159.1466667,115.07,0
0.003472,235.6,154.0066667,122.39,0
0.0039581,234.57,148.6233333,128.92,0
0.0045123,232.8,143.146,134.481,0
0.005144,230.44,137.756,139.026,0
0.0058641,227.73,132.644,142.629,0
0.0066851,224.96,127.9886667,145.457,0
0.007621,222.48,123.956,147.786,0
0.008688,220.64,120.6846667,149.933,0
0.0099043,219.75,118.2813333,152.203,0
0.011291,220.13,116.8466667,154.925,0
0.012872,222.05,116.462,158.382,0
0.014674,225.8,117.2186667,162.872,0
0.016728,231.63,119.202,168.642,0
0.01907,239.82,122.51,175.965,0
0.02174,250.64,127.25,185.085,0
0.024783,264.34,133.5273333,196.219,0
0.028253,281.17,141.4506667,209.579,0
0.032208,301.28,151.0973333,225.274,0
0.036717,324.75,162.504,243.369,0
0.041858,351.49,175.6433333,263.77,0
0.047718,381.17,190.36725,286.204125,0
0.054398,413.19,206.3966667,310.19,0
0.062014,446.62,223.2733333,335.02,0
0.070696,480.3,240.4066667,359.84,0
0.080594,512.94,257.1333333,383.71,0
0.091877,543.09,272.71,405.57,0
0.10474,569.63,286.4833333,424.72,0
0.1194,592.15,298.1566667,440.99,0
0.13612,610.69,307.7766667,454.37,0
0.15518,625.09,315.27,464.73,0
0.16,627.82,316.7066667,466.67,0
